date,price,long,model,actions
2018-05-14,1100.199951,1000000.0,1000000.0,4
2018-05-15,1079.22998,999000.9990009991,1000000.0,8
2018-05-16,1081.77002,979959.894737196,999000.9990009991,8
2018-05-17,1078.589966,982266.2959465362,1001352.2147238076,8
2018-05-18,1066.359985,979378.7507144269,998408.5630631329,8
2018-05-21,1079.579956,968273.7118297603,987087.7477937469,8
2018-05-22,1069.72998,980277.6791302135,999324.9581015666,8
2018-05-23,1079.689941,971333.7268466383,990207.2204122043,8
2018-05-24,1079.23999,980377.5474539443,999426.7669161024,8
2018-05-25,1075.660034,979968.9839940997,999010.2648666489,8
2018-05-29,1060.319946,976718.320678646,995696.4395591092,8
2018-05-30,1067.800049,962789.2496740217,981496.7198323063,8
2018-05-31,1084.98999,969581.3153915653,988420.7587379251,8
2018-06-01,1119.5,985190.0856120689,1004332.8150651301,8
2018-06-04,1139.290039,1016525.7845767877,1036277.3821216665,8
2018-06-05,1139.660034,1034495.489732018,1054596.2475142574,8
2018-06-06,1136.880005,1034831.451730825,1054938.737420464,8
2018-06-07,1123.859985,1032307.1362682334,1052365.373262945,8
2018-06-08,1120.869995,1020484.7280094523,1040313.2497785578,8
2018-06-11,1129.98999,1017769.7642482851,1037545.5329319566,8
2018-06-12,1139.319946,1026050.8808831322,1045987.5557488952,8
2018-06-13,1134.790039,1034522.6458165551,1054623.9312549161,8
2018-06-14,1152.119995,1030409.4102049116,1050430.773445881,8
2018-06-15,1152.26001,1046145.3165198569,1066472.4361845711,8
2018-06-18,1173.459961,1046272.4526142986,1066602.0425960564,8
2018-06-19,1168.060059,1065522.382782467,1086226.008405246,8
2018-06-20,1169.839966,1060619.1763356712,1081227.5302379627,8
2018-06-21,1157.660034,1062235.3633474165,1082875.1205607676,8
2018-06-22,1155.47998,1051175.7698392502,1071600.63369397,8
2018-06-25,1124.810059,1049196.2422798313,1069582.6429373787,8
2018-06-26,1118.459961,1021347.4119918158,1041192.696136344,3
2018-06-27,1103.97998,1015581.4107845007,1035055.830015974,8
2018-06-28,1114.219971,1002433.332136281,1024744.8542638123,8
2018-06-29,1115.650024,1011731.4249324704,1034249.8980825939,8
2018-07-02,1127.459961,1013029.9383293543,1035577.3129629566,8
2018-07-03,1102.890015,1023753.5698387133,1046539.624226907,8
2018-07-05,1124.27002,1001443.624653667,1023733.1185029176,8
2018-07-06,1140.170044,1020857.0470358739,1043578.6324658471,8
2018-07-09,1154.050049,1035294.5498240738,1058337.475988237,8
2018-07-10,1152.839966,1047897.8396611034,1071221.2818167682,8
2018-07-11,1153.900024,1046799.0629116814,1070098.0491948489,8
2018-07-12,1183.47998,1047761.6143097582,1071082.0244483866,8
2018-07-13,1188.819946,1074620.7371151596,1098538.9604884316,8
2018-07-16,1183.859985,1079469.5206147248,1103495.6651203793,8
2018-07-17,1198.800049,1074965.7883708703,1098891.6916750465,8
2018-07-18,1195.880005,1088531.6305139943,1112759.4736853433,8
2018-07-19,1186.959961,1085880.178956961,1110049.0078096634,8
2018-07-20,1184.910034,1077780.621363786,1101769.175426465,8
2018-07-23,1205.5,1075919.2514200609,1099866.376297022,8
2018-07-24,1248.079956,1094615.3044281532,1118978.5541355792,8
2018-07-25,1263.699951,1133278.6569785285,1158502.450941914,8
2018-07-26,1268.329956,1147461.8884858626,1173001.3637753483,8
2018-07-27,1238.5,1151666.014850507,1177299.0629047886,8
2018-07-30,1219.73999,1124579.8876269332,1149610.0699269306,8
2018-07-31,1217.26001,1107545.4670070864,1132196.5080311454,8
2018-08-01,1220.01001,1105293.601339168,1129894.5217725928,8
2018-08-02,1226.150024,1107790.6499390663,1132447.1480885388,8
2018-08-03,1223.709961,1113365.891161632,1138146.4794764211,8
2018-08-06,1224.77002,1111150.2708351545,1135881.5452850154,8
2018-08-07,1242.219971,1112112.8231412487,1136865.521466781,8
2018-08-08,1245.609985,1127957.6870368286,1153063.0502429872,8
2018-08-09,1249.099976,1131035.879659496,1156209.7553149236,8
2018-08-10,1237.609985,1134204.853165026,1159449.261812747,8
2018-08-13,1235.01001,1123771.7382779736,1148783.9333048991,8
2018-08-14,1242.099976,1121410.9150294208,1146370.5643573347,8
2018-08-15,1214.380005,1127848.729456194,1152951.6675539755,8
2018-08-16,1206.48999,1102678.5059017316,1127221.2212078453,8
2018-08-17,1200.959961,1095514.23284394,1119897.4903270423,8
2018-08-20,1207.77002,1090492.8687814502,1114764.363944008,8
